,listing_id,english_review,compound,negativity,neutrality,positivity,polarity,subjectivity,weight_polar,review_length,negative_comp,most_negative,smallest_polarity,most_positive,highest_polarity,sum_of_english_review,sum_of_compound,sum_of_negativity,sum_of_negative_comp
3312,26650699,0.75,0.6262416666666667,0.015666666666666666,0.7094166666666667,0.27491666666666664,0.3835325476992144,0.5841903158569827,0.12500770093376712,130.25,0.08333333333333333,0.0,-0.044444444444444446,0.732,0.79,9,7.5149,0.188,1
3313,26653154,1.0,0.87123,0.0029000000000000002,0.5774,0.4196999999999999,0.5542364302364302,0.7107132867132868,0.14217297179990987,202.2,0.0,0.0,0.32,0.748,0.8666666666666667,10,8.712299999999999,0.029,0
3314,26655077,1.0,0.7351454545454547,0.002181818181818182,0.5155454545454545,0.48227272727272724,0.6156788665879575,0.7053571428571428,0.11340561810123498,98.72727272727273,0.0,0.0,0.0,0.804,1.0,11,8.0866,0.024,0
3315,26656721,0.9583333333333334,0.8428374999999999,0.016125,0.5866666666666666,0.39725000000000005,0.47325677910052905,0.7125396825396825,0.1238730072711955,203.375,0.041666666666666664,0.0,-0.14583333333333334,0.732,1.0,23,20.228099999999998,0.387,1
3316,26660935,0.85,0.7918499999999999,0.023,0.4843,0.44275000000000003,0.4500610615079365,0.6579287698412698,0.12633300513629062,129.75,0.0,0.0,0.0,0.792,0.78,17,15.836999999999998,0.46,0
3317,26661726,0.8841463414634146,0.7316249999999999,0.012414634146341464,0.6349756097560975,0.34040243902439016,0.39462253138215647,0.5988953790708346,0.12751432693973094,193.21951219512195,0.024390243902439025,0.0,-0.06078869047619048,0.804,1.0,145,119.98649999999998,2.036,4
3318,26662886,0.6666666666666666,0.8709000000000001,0.0,0.6513333333333334,0.3486666666666666,0.6083333333333334,0.7805555555555556,0.13395833333333332,129.33333333333334,0.0,0.0,0.6,0.385,0.625,2,2.6127000000000002,0.0,0
3319,26681254,0.6,0.71764,0.0404,0.5932000000000001,0.36640000000000006,0.47439285714285717,0.6503809523809524,0.11949951247165533,218.8,0.0,0.0,0.2833333333333333,0.787,1.0,3,3.5881999999999996,0.20199999999999999,0
3320,26684520,0.8333333333333334,0.911611111111111,0.00827777777777778,0.6945,0.29727777777777786,0.40356789082075034,0.6378977950607853,0.1327793400527024,303.6111111111111,0.0,0.0,0.16541666666666668,0.661,0.7,15,16.409,0.14900000000000002,0
3321,26701554,0.6666666666666666,0.7312555555555557,0.0044444444444444444,0.6188888888888888,0.3766666666666667,0.3879845679012346,0.6142530864197532,0.14015282270233195,121.22222222222223,0.0,0.0,0.19375000000000003,0.63,0.55,6,6.581300000000001,0.04,0
3322,26701694,0.8235294117647058,0.7747764705882353,0.0037647058823529413,0.43358823529411766,0.5038235294117648,0.46918709150326793,0.6129411764705882,0.15384670819716775,90.52941176470588,0.0,0.0,0.0,0.868,0.9033333333333333,14,13.1712,0.064,0
3323,26702226,0.8181818181818182,0.7485363636363637,0.018000000000000002,0.6278181818181818,0.35418181818181826,0.4127410413660414,0.5513719058719059,0.10590923562691718,186.45454545454547,0.0,0.0,0.0,1.0,1.0,9,8.2339,0.198,0
3324,26707460,1.0,0.742618181818182,0.01009090909090909,0.6360909090909092,0.3539090909090909,0.3432043087121212,0.5630681818181819,0.09430505297111741,150.8181818181818,0.0,0.0,0.0,0.574,0.6708333333333334,11,8.168800000000001,0.11099999999999999,0
3325,26726684,0.8571428571428571,0.6739142857142856,0.02223809523809524,0.6754761904761905,0.3022857142857142,0.4241903502141598,0.6144543965734443,0.12193311802147862,209.0,0.0,0.0,0.0,0.608,1.0,18,14.152199999999997,0.467,0
3326,26733593,0.8170731707317073,0.8668439024390249,0.009097560975609757,0.6522682926829267,0.33859756097560967,0.3948499130874813,0.6240471779132277,0.13524054927303797,275.0975609756098,0.012195121951219513,0.0,-0.026602564102564098,0.796,0.85,67,71.08120000000004,0.7460000000000001,1
3327,26736840,0.8,0.9080899999999998,0.0,0.4526,0.5474,0.6149391534391535,0.7168703703703703,0.1516905780913188,146.9,0.0,0.0,0.32201058201058197,0.807,1.0,8,9.080899999999998,0.0,0
3328,26737605,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0
3329,26737677,1.0,0.7823833333333333,0.0045,0.7788333333333334,0.2165,0.27894609788359787,0.5666490299823633,0.11927478311514934,299.1666666666667,0.0,0.0,0.05000000000000001,0.319,0.39166666666666666,6,4.6943,0.027,0
3330,26737789,0.8918918918918919,0.8373162162162162,0.0022702702702702706,0.5875945945945947,0.4101351351351351,0.44667238667238673,0.6234569885819886,0.1351892170166075,158.54054054054055,0.0,0.0,0.0,0.785,0.8,33,30.9807,0.084,0
3331,26744402,0.9705882352941176,0.7798117647058822,0.02235294117647059,0.5537941176470585,0.4239117647058824,0.42620947495159683,0.66741739625143,0.1318115618963749,162.02941176470588,0.029411764705882353,0.0,-0.3408333333333333,0.866,0.8500000000000001,33,26.513599999999993,0.76,1
3332,26744966,1.0,0.7059333333333333,0.0,0.656,0.34400000000000003,0.43799537037037034,0.5546296296296295,0.1039350802469136,123.0,0.0,0.0,0.0,0.526,1.0,6,4.2356,0.0,0
3333,26745549,1.0,0.44229999999999997,0.03766666666666667,0.7636666666666666,0.19866666666666666,0.34972222222222227,0.5722222222222223,0.13253703703703704,211.33333333333334,0.3333333333333333,0.0,-0.12916666666666662,0.325,0.595,3,1.3269,0.113,1
3334,26746946,0.6666666666666666,0.7184333333333334,0.0,0.6866666666666666,0.3133333333333333,0.2399537037037037,0.52,0.06701435185185185,150.33333333333334,0.0,0.0,0.0,0.564,0.475,4,4.3106,0.0,0
