,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
2216,18124008,1,183,217,98,247,13,25,106,29,88,16,7,3,4,5,1,19,6,1,26,312.9579768657006,548.6707834431973,593.5930136462183,1567.2036351174208,2699.435076458605,5375.288263298034
2217,18129628,1,88,93,73,96,3,16,67,27,49,7,6,2,1,5,0,13,3,0,31,982.7522159075021,1060.583593985688,1282.3221949515182,1735.1718292586042,1853.5510840298143,5183.697034875975
2218,18131792,1,49,66,43,83,1,5,30,9,116,6,3,3,6,2,0,5,1,0,13,1265.3098033896588,1394.6913270482985,1488.2359240241587,2293.1232083021087,2931.865295166327,6536.039979046164
2219,18133419,1,108,128,73,107,8,24,104,23,56,13,6,1,3,3,0,17,5,1,26,420.35557825668025,918.0812566531824,957.7133228748474,1745.5823945080897,2689.579938319705,5209.344805451977
2220,18133938,1,30,19,17,22,0,3,33,10,34,1,0,1,0,3,0,1,0,0,6,1031.830482686838,1469.1073589571506,1929.8918857761562,2117.2097046136832,953.0972236417363,5424.775337799548
2221,18138779,1,16,17,6,5,1,1,27,18,35,3,0,0,0,0,0,1,0,1,3,908.7506997260489,1036.1342004846779,1496.5011356596535,2344.672966724028,502.1510443638969,5908.7721053239775
2222,18139699,1,85,80,74,78,3,16,69,24,43,5,6,2,1,5,0,14,3,0,28,1163.7732241151632,1232.7631039334744,1346.1298532243397,1839.7044474874094,2110.456892931669,5145.264739281363
2223,18146039,1,82,123,36,113,11,16,70,31,87,8,1,1,2,3,0,9,1,0,9,419.74472545963465,758.2797278036571,805.0704344575361,1850.473121324158,3100.070302281871,5698.703014041681
2224,18150382,1,158,160,95,180,10,24,103,26,60,14,6,3,5,4,1,23,5,1,29,585.7628754879215,786.8836130688148,801.4233876729774,1632.4786027586943,2462.605063185612,5221.067729240958
2225,18151164,1,70,81,50,61,7,10,1,12,44,6,3,0,3,4,0,4,0,0,6,54.62578500857048,824.5431792843135,1221.6990211371524,1602.509824900113,1474.041557371952,6006.560131073474
2226,18165621,1,140,135,89,144,6,21,97,26,59,14,8,3,4,4,0,20,5,1,29,849.8567717138988,853.0318155354988,946.4494915261834,1673.6630635328631,2311.917758271157,5184.208738462466
2227,18166558,0,2,4,1,4,1,0,25,0,43,0,0,0,0,0,0,0,0,0,2,7112.085755237506,7579.917408902614,8558.096579208417,9185.289181203285,7909.443695545714,10359.462694234502
2228,18170033,0,3,2,7,6,1,0,1,0,36,1,0,0,0,2,0,0,2,0,2,5359.265525982943,5421.156160777743,5614.428573329271,6472.024812215226,6099.169396636148,10652.913929182174
2229,18179375,1,6,1,6,4,1,1,5,0,22,2,0,0,0,6,0,0,1,0,4,4940.124348352677,5402.5831048851305,6172.626144652075,6528.8671164073385,4718.962314403718,5646.318949425416
2230,18179488,1,6,1,8,4,1,1,6,0,21,2,0,0,0,6,0,0,1,0,4,4751.930056178105,5181.559284374309,5950.417057513139,6311.6044848552265,4793.840724950378,5567.689105725866
2231,18193876,1,14,14,6,5,1,0,27,15,35,3,0,0,0,0,0,1,0,1,2,937.8926901668519,1119.6609032968354,1536.0532155033316,2391.3458426061898,554.399980076063,5919.153427275452
2232,18201209,1,24,24,8,21,1,2,36,15,48,2,0,1,0,3,0,2,0,0,7,1347.732801173734,1575.7975438500955,1838.594231485449,2809.032689036909,2808.3574721570144,5566.980184578011
2233,18220420,1,22,31,27,31,1,4,8,2,141,1,1,2,1,5,0,3,1,0,11,1719.4929306596161,2008.911992951425,2196.012004760641,2793.520988868848,3077.0555031826184,7074.29985033591
2234,18220661,0,4,3,4,10,0,0,7,0,44,0,0,0,0,1,0,0,0,1,1,10732.570889645369,10989.332939989918,11011.433967069774,12043.08147804469,8516.913990174084,13302.857221682047
2235,18230728,1,1,0,1,2,0,1,0,0,353,0,0,0,0,1,0,0,0,0,3,3822.5290049827013,6473.330244226098,6936.201460581431,6910.475494266499,4030.996746750896,6565.822247435404
2236,18238473,1,4,4,4,4,0,1,31,0,47,0,0,0,0,1,0,0,0,0,1,3321.3342820860926,4182.370261846488,4210.887622219858,4824.758500755009,2346.358923676956,5210.719339668435
2237,18245697,1,33,29,35,26,1,10,55,15,33,0,2,0,1,4,0,3,0,0,5,1352.5172088947204,1481.1095534895549,1784.4359220591002,2208.81405378408,2089.5509686608125,5169.070806294121
2238,18246448,1,9,6,12,2,1,4,6,0,47,2,0,0,0,3,0,0,0,0,2,2660.563143365102,4150.823348618058,4747.818257237692,5328.571112331361,3755.915675992157,8610.122163854112
2239,18248328,1,8,14,17,25,1,0,1,0,104,2,0,0,0,8,0,1,0,0,7,2599.746585428378,3091.6855537897513,3173.9159659943853,3747.6205558744045,3710.822295229912,8007.528124717866
2240,18271892,1,52,35,51,48,3,17,57,16,48,3,4,1,1,4,0,6,0,0,17,1511.3314325384868,1541.7856501767599,1559.4553551646268,2096.415367673443,2376.2544487457944,5101.752890920342
2241,18281097,0,8,20,15,13,1,4,14,0,77,1,0,0,0,2,0,0,2,0,2,7147.741317651094,7359.721338678243,7611.915117639792,8440.425643452725,6224.284703772903,10516.300057301314
2242,18281628,1,7,9,16,6,2,3,25,0,50,1,0,2,0,7,0,2,0,0,5,2484.0227305962417,4660.050975888664,4852.561287719182,5140.662232043489,4512.090881029562,5380.63297864944
2243,18281884,0,1,4,2,7,1,0,4,1,45,0,0,0,0,0,0,0,1,0,0,10934.766556024684,11118.673531717302,11401.326603161324,12176.94364875292,9932.235524812711,14238.286365905513
2244,18284931,1,75,54,59,56,1,16,74,13,48,5,4,1,1,6,0,14,3,1,13,993.1674608304452,1459.7768235426015,1497.834322456128,2134.7714357709724,2868.8975604950306,5080.510298853494
2245,18296740,0,7,1,5,6,0,1,2,0,18,0,0,0,0,2,0,0,0,0,7,8397.068906693103,9451.612470994536,9619.57285222015,10612.730692004126,9612.99222251788,14596.562520314208
