words,sentiment_coeff
etc,1.037681233747941
not,1.1215360831374364
far,1.0550180003531326
away,1.044637040156307
hepful,1.001671743360432
when,1.1051612010064893
found,1.1212785049895508
mixed_up,1.0151565062475312
bookings,1.0798690346315896
thanks,1.091373434924847
no_surprises,1.0281712921413673
as_described,1.084161856245916
gracious,1.0694989172828815
nice,1.106873937108288
neighborhood,1.0697509848920286
rail,1.021548182840752
head,1.056442486100593
experience,1.109847230056207
hostess,1.0723597330710553
delightful,1.0904306175577123
her,1.0815433241347483
just,1.0990802268379996
cozy,1.1051862278487399
went_out,1.029913962932266
of,1.1202592153577584
make,1.0824826753054444
help,1.0618946677380092
enjoy,1.0822790133772333
even_though,1.0729604653977152
shortened,-1.2608791802878239
certainly,1.109722578202477
love,1.0894161163208398
me,1.03177805587176
my_friend,1.0581466378156605
stayed,1.0712732060107655
for,1.1238760852877596
first,1.0926018145130214
part,1.0382525738935906
trip,1.0761056881255626
ireland,1.0904500497404963
so,1.1414782936770895
treated,1.0514715458908528
like,1.0996695788564212
their,1.0838559388413107
too_far,1.0294573376013538
from,1.0834003390312197
s,1.04368978696734
city_center,1.0437122286364746
took,1.0532855115556303
less_than,1.0322829561491096
10min,0.94058437834533
walk,1.048399709832437
luas_station,0.9940958115130998
that,1.137301972578295
takes,1.0239899624341935
center,1.0408010997222457
find,1.0871793055807437
things,1.0788919521459923
do,1.0707565460573232
town,1.065972908303993
gave_us,1.0372775650854063
directions,1.0465618528966998
taught,1.0393904848242639
lot,1.0776232557910677
about,1.064944381391048
irish_culture,1.0269674531818
even,1.0979143161144183
enough,1.0790311911899158
give,1.049052692812782
ride,1.0197405186089497
down,1.073122302145194
harbor,1.015828740142388
look,1.0881203068599559
seals,1.031482627880108
couldn_t,1.0685648852730851
rent,1.0561842461838973
car,1.0182413802543362
bit,1.1048618897611246
limited,1.0736820794753392
travels,1.0734354349108954
really,1.119231900861174
definitely,1.106134873144378
highlight,1.0551598365545163
tried,1.0677304935006102
them,1.1008986599432098
last,1.0720459145382988
portion,1.0638817214365852
but,1.1245505270379987
sadly,1.071202689735606
booked,1.0778673277473358
up,1.0854963037914576
highly_recommend,1.100801286837574
staying,1.1127406062928262
kate,0.997487792107047
kat,-1.2137127313704656
wonderful,1.1176188768129618
holly_cottage,1.0364946513338449
as,1.1176731162586075
did,1.0893201735981284
history,1.0490471152642955
irish,1.068682675248498
such,1.116985224984459
delight,1.0555871789347466
an,1.0749996748901742
welcome,1.0708886461112037
thank_you,1.0840700657850493
hope,1.0744291820151293
see,1.0727993915389078
marc,0.991006594313258
mary,1.0086990856710212
virginia,1.0047656130346252
my_husband,1.0769490623348736
stated,1.0474242796055575
twice,1.0554229528979397
positive,1.0646554455100719
knew,1.0838623066361703
be,1.1239122058210027
hands,1.0824548658474162
terrific,1.0799214012080873
near,1.0606142825241895
every,1.0778577825589841
minute,1.0015282127441532
people,1.1038938806385035
rooms,1.1034785972538848
indeed,1.1000956822129917
cosy,1.06151898185964
bed,1.0948734403026519
looking_forward,1.0488317904298
next,1.0730229578269224
irland,0.9837810383390024
too,1.1130949114745643
short,1.0665425020685089
hugh,1.0052708700577273
terese,-1.3048114699532576
emma,1.0214294431877624
though,1.1189920465377756
could,1.1021183684744205
only,1.0851062486118854
one_night,1.0673827433103622
throughly_enjoyed,1.0323783474646617
evening,1.0689967452717812
morning,1.0771904939877304
conversation,1.060008370003371
caught,1.0262295658429066
he,1.050376731274324
hours,1.0608640254416724
flew,1.0436528033847938
by,1.0754402173499567
staying_here,1.0837384119104203
any,1.0959780528339507
travelers,1.0784228808702057
friendly,1.098473592285657
getting_around,1.0430922765301427
loved,1.1020759442226813
beautiful,1.1064344296332713
little,1.1076455085969914
al,-0.955943118957263
herbs,1.0282859873421997
flowers,1.0469743237369487
located,1.0594650355411306
suburbs,1.0415587805107889
within_walking,1.0362024223661073
distance,1.0335211138167866
its,1.1090807482613676
10_min,0.965763031988539
train_ride,1.0060532808239047
heart_of,1.0615395949192605
also,1.110300960286497
new,1.1094155861909554
modern,1.0852093406839114
shopping,1.0234162725228233
complex,1.0511713759533083
