,id,in_city,bars,cafes,fast_foods,restaurants,library,university,bus_train_tram_station,bicycle_rentals,parking,taxi,casinos,cinemas,nightclubs,social_amenities,sex_amenities,theatres_artscentre,malls,kiosks,supermarkets,nearest_sight,2nd_nearest_sight,3rd_nearest_sight,mean_dist_sight,nearest_travel_poss,mean_dist_travel
1983,28559393,1,29,54,57,139,7,29,101,13,53,6,1,3,1,4,0,4,0,1,25,999.1394520056101,1874.446024075968,2026.5662097594443,3061.7650608598333,1033.173070706653,10969.468958788988
1984,28559893,1,37,58,44,115,2,4,128,1,79,6,0,2,5,2,0,10,1,1,18,2299.790357085876,2324.6593105037778,2337.6448895022327,4601.430643991896,3840.594653617274,12922.427340115206
1985,28564351,1,2,2,2,7,0,0,22,2,28,1,0,0,0,0,0,0,0,1,2,1276.1042550604773,4397.989181023913,5172.515488321914,6485.32356001286,4984.663913497161,13700.25988347193
1986,28571047,1,47,51,34,163,5,8,88,8,60,12,0,3,3,4,0,27,0,1,13,916.0794990659043,1064.2251275683814,1069.721277925331,3429.858872646218,2518.067513925641,11994.251883881549
1987,28571665,1,60,83,44,173,8,13,84,10,117,8,0,5,2,1,0,8,1,1,36,1172.5150054378685,1929.985381962858,2130.750921442227,3089.0329399158727,2384.2962448809235,10728.768746533384
1988,28575333,1,9,2,4,11,0,0,51,1,98,1,0,0,0,2,0,1,0,1,5,2991.4324962207925,4081.8780896431344,4220.714868437436,5993.304310112226,2866.4346987090735,11057.719348221312
1989,28577715,1,50,70,35,168,6,13,79,10,120,7,0,4,2,1,0,8,0,1,36,1210.7431452598933,2004.951102252607,2024.4677593357928,3096.9240009712844,2387.8816286905794,10698.163277934134
1990,28579006,1,7,6,4,10,2,0,31,0,22,2,0,0,0,0,0,1,0,1,7,4058.1175993742277,4767.064251341189,5979.2315142271345,7210.327680692913,5025.150740475929,15819.132259241165
1991,28580754,1,14,9,11,27,1,0,48,4,80,3,0,0,3,6,0,1,0,1,15,1970.5092355107467,3844.775564111253,3968.881060232081,5448.213946014624,3047.868199231679,14116.379255584996
1992,28583302,1,2,0,1,9,0,0,42,0,23,0,0,0,0,1,0,0,0,1,2,2435.5096543531936,5537.686253228494,6228.887541849646,7625.58447514643,6005.941056112574,14626.869891871114
1993,28585025,1,5,1,2,6,0,0,29,0,112,1,0,0,0,1,0,0,0,0,6,3388.8152034083264,3596.2203594531848,4692.665460988374,6277.14811642184,3531.7196831078036,11185.157808584256
1994,28591015,1,5,4,6,7,0,0,26,1,48,1,0,0,0,0,0,0,0,1,3,4404.344355578782,4463.688216142709,4530.047880667141,7037.061231693399,5236.65684841715,15854.035730016309
1995,28592049,1,46,34,35,92,3,0,112,7,81,5,0,0,1,11,0,5,1,1,18,998.8443857398518,2371.8017196540377,2515.8381679779664,3792.553719933181,1122.3477796191694,12024.215680474434
1996,28595439,1,40,44,30,115,1,1,79,4,49,5,0,3,1,4,0,10,0,1,17,1365.7440386258702,1430.7576592627781,1491.2769436308681,4171.7175986579105,2778.495825846895,12963.9472842795
1997,28597024,1,19,20,12,31,1,0,51,3,86,4,0,0,0,8,0,1,0,1,15,2874.4799978217143,2973.9564774877813,3007.7192527283437,5549.367264080856,3673.5152474750994,14420.435395338664
1998,28601076,1,28,46,32,126,5,11,77,10,86,4,0,2,0,7,0,6,0,1,22,1273.1862446045736,1528.995993441734,2011.4775484322,3098.877013650958,2169.7378866023346,10640.581772970932
1999,28605073,1,21,46,45,133,5,23,52,7,58,5,0,2,0,4,0,9,0,1,26,1199.5045994023096,1865.3087667432305,2125.0609681984156,3125.394455527266,1288.7335242628092,10930.086737362504
2000,28606194,1,2,0,3,7,0,0,42,0,128,2,0,0,0,3,0,0,0,0,6,7415.851502704378,7421.820313528185,7464.968872217369,9551.1240684238,8914.41215516,16927.907497508484
2001,28607626,1,16,33,16,104,2,3,74,9,130,4,0,2,0,1,0,4,0,1,21,1705.2377543268015,1784.952240810168,1888.8580278599904,3331.449539721946,2072.301665991148,10534.064491924906
2002,28618234,1,26,44,23,122,4,5,85,10,136,5,0,3,1,1,0,5,1,1,28,1732.569277583787,1838.521005646643,1839.4855715289336,3273.6309373073595,2203.6219407950266,10572.103878875369
2003,28620033,1,56,102,54,163,21,38,72,12,62,10,0,3,0,2,0,11,0,1,20,470.5171815812463,1223.232552834482,1648.2122346553892,2893.7059333620155,1777.2531856719388,10947.590906282807
2004,28625008,1,7,5,11,10,0,0,59,2,88,1,1,0,0,1,1,0,0,1,14,3900.94800735605,3991.7325357527184,4055.6223895485905,6576.09220596342,5096.672083588305,15221.525956956008
2005,28625809,1,19,11,14,26,1,0,56,2,113,3,2,1,0,1,1,0,0,1,15,1161.9253744469434,2264.3667505022468,3399.0717539576017,4445.923334133149,1238.70753059082,10396.462917193443
2006,28626244,1,33,64,51,146,12,32,62,9,76,7,1,4,0,7,0,5,0,1,23,709.3608284738485,1684.5133991245095,1933.4038233247384,2961.5283381153176,1285.722568706426,10878.906785565257
2007,28628133,1,16,29,20,89,3,3,69,7,94,4,0,2,0,8,0,1,0,1,17,1208.3659042622562,1641.383666294307,1645.5763313540642,3209.5222728982694,1958.9760187681093,10550.932205763595
2008,28630830,1,28,18,23,70,0,1,72,5,88,3,0,0,8,2,0,3,0,1,18,875.4870316362483,2783.3111505288825,2900.7134894615183,4500.2064386456705,1976.6600705686533,13125.728351894271
2009,28633468,1,32,46,26,98,1,3,60,3,60,5,0,2,0,4,0,9,0,1,20,1758.9300932309059,1810.7200086059606,1868.2159576660058,4498.4540883239015,3192.6607885545905,13220.368685046778
2010,28635211,1,10,13,4,43,0,1,57,4,95,6,0,0,0,6,0,1,0,1,11,1582.6856907796378,2210.2822002782395,2803.7596591506194,3891.3780609119735,2537.4777953445723,10671.967562384069
2011,28635402,1,36,26,30,76,3,2,53,7,39,3,0,1,1,9,0,4,0,1,18,1067.2726297057832,2072.1464616854064,2216.3165597651896,4378.227611473051,2033.8004295097778,13185.395043421788
2012,28635742,1,41,27,33,79,5,4,60,6,48,3,0,1,1,7,0,4,0,1,19,704.5963002454257,1946.7465733770098,2082.765265874172,4136.395138207129,1701.2472378400441,12886.761613080107
2013,28635809,1,55,87,103,197,5,8,177,8,89,19,2,8,13,8,1,11,3,1,33,980.0579899487757,1148.777663733346,1205.5555525500981,3217.2540218225504,502.14569107055206,11637.054428470363
2014,28646711,1,9,12,3,37,1,1,56,5,48,2,0,0,0,2,0,2,0,1,6,985.4755846314522,2052.670331695324,2728.407222415419,3877.1700895257213,2069.1715202212854,11075.034257628
2015,28646898,1,11,13,4,51,2,1,56,5,44,2,0,0,0,3,0,1,0,1,8,1173.4360591983177,2251.24520593211,2573.4717328308816,3906.350396126754,2270.4673801289746,11181.21321530349
2016,28646980,1,50,84,63,160,13,32,81,12,80,8,0,4,0,6,0,6,0,1,28,670.7907930859618,1669.5886086598416,1964.138504372541,2946.9856367133243,1455.7740991973858,10840.84377736515
