id,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others,count,brightness,contrast
11934564,1,1,1,0,1,3,1,8,120.98572991181467,0.984263289898524
1197825,2,4,0,0,2,6,7,21,123.20945047874127,0.9996279761904762
12035891,3,6,0,0,1,2,3,15,135.94100891632374,1.0
12128702,3,3,0,1,2,0,1,10,127.39078476067611,0.996859535480859
1213878,4,0,0,0,3,3,2,12,158.36356073462005,0.9941558244163424
12280507,2,2,0,0,2,4,3,13,110.18319380925219,1.0
12297629,1,2,1,1,1,3,9,18,91.15561841813843,0.9987012943147427
12307735,2,4,1,0,1,5,0,13,122.44753550124643,0.9993990384615384
12339966,3,1,1,1,3,4,0,13,137.86190799367722,0.9987980769230769
12446888,3,9,0,2,0,1,3,18,122.38722873263889,1.0
12456762,6,11,0,0,4,5,4,30,141.0564022625485,0.9997364953886693
12458436,7,11,1,0,6,6,1,32,143.36618042231663,0.9985529788838612
12459910,4,4,1,0,3,2,2,16,116.86135540244021,0.9990272373540856
12490172,3,10,2,0,3,6,4,28,113.24085569574042,0.9796510668664904
12558267,0,4,0,0,1,3,0,8,137.00262024176953,1.0
12589350,7,5,0,0,2,4,7,25,115.76751062985066,0.9974516188984848
12607113,1,3,1,0,3,2,2,12,123.4717477131294,0.9993489583333334
1261715,1,1,1,0,2,2,1,8,181.96271255532264,0.998046875
12664515,2,3,1,0,1,4,2,13,115.92903422018442,0.9755715234442776
127383,3,6,1,0,4,4,9,27,138.0868286843587,0.9977119977119977
1273964,2,3,0,1,3,0,3,12,114.75508208500332,0.9892592214346609
12743808,2,1,1,0,0,1,1,6,131.13502521111965,0.9973803936100132
12771303,4,9,0,4,5,3,0,25,113.72136692391885,0.9978294106710934
12783271,3,2,1,0,2,3,5,16,107.1808121359746,0.9985389561040856
12801486,3,7,1,1,3,8,12,35,129.06494086249808,0.9995518207282913
12850600,4,5,0,2,1,2,1,15,134.9079658763783,0.980196812656268
12880683,3,10,1,5,6,6,18,49,139.08402615570088,0.9980947373371927
12882106,0,0,0,0,0,0,1,1,76.77559927983539,1.0
12983450,3,5,1,0,1,1,0,11,115.36990258487653,0.997133892219635
12992556,2,2,1,3,3,1,12,24,137.79779728994504,0.9967542248495759
12994741,6,5,0,2,0,2,3,18,148.51636504415293,0.9982398033579136
13038824,3,7,0,0,7,5,0,22,121.56020959742096,0.9971534325099572
13089228,1,1,2,0,6,4,8,22,101.12043660523587,0.9996448863636364
13124369,4,7,0,2,2,6,17,38,126.39577634626512,0.9931231056515964
13251484,1,4,0,0,3,1,19,28,110.57219502158898,0.985760966421444
13260522,1,4,0,0,1,1,0,7,119.98383593290711,0.9911367321203387
1328998,0,3,0,1,0,2,0,6,120.51063627936385,0.9179695071485411
13296282,2,2,0,0,1,0,1,6,141.20066460670037,0.95578231292517
13323895,1,5,0,0,1,0,11,18,132.29532156871716,0.9961038829442282
13324700,1,0,0,0,1,0,0,2,116.46929783950617,1.0
13352841,1,4,0,0,1,1,0,7,147.26345205945034,0.9944283282379099
1342604,1,0,0,0,0,2,3,6,149.61234053497944,0.9919151372895866
13429546,4,11,0,0,5,4,3,27,129.2471585603495,0.9988414578794481
13454365,2,4,0,0,2,4,0,12,123.49047858930254,1.0
13461428,6,3,1,0,2,1,0,13,113.90336184809277,0.9923634469143023
13498581,1,2,3,0,2,3,1,12,98.59030807934671,0.9967724026547556
13499094,4,3,1,0,3,6,0,17,154.69767506314773,0.9911410441047712
13516460,2,3,0,0,1,0,0,6,117.76324671532063,0.9856872162775616
1355138,1,7,0,1,0,3,14,26,120.1593374328304,0.9804492200146547
1355595,1,5,0,0,2,1,0,9,125.70288630258344,0.9965276979908153
13571939,2,1,0,0,3,1,1,8,97.9936747406283,1.0
1359310,1,7,0,0,1,3,2,14,96.00682584865292,0.9977937120794264
13593124,2,2,0,0,2,2,2,10,124.25638769933127,0.9842148572725726
13600342,2,1,0,1,1,2,0,7,122.36709465479863,0.9988751406074241
