,id,prop_of_eng_reviews,mean_compound,mean_negativity,mean_neutrality,mean_positivity,mean_review_length,prop_of_neg_comp,most_neg_compound,most_pos_compound
2785,39794389,0.37142857142857144,0.6303571428571428,0.014285714285714284,0.582942857142857,0.40277142857142856,148.77142857142857,0.02857142857142857,-0.1027,0.9931
2786,39810341,0.25,0.676925,0.0125,0.6569999999999999,0.3305,187.0,0.0,0.0,0.9901
2787,39812178,0.6666666666666666,0.5661999999999999,0.0,0.636,0.36400000000000005,55.0,0.0,0.0,0.9485
2788,39812954,1.0,0.9785,0.0,0.466,0.534,202.0,0.0,0.9785,0.9785
2789,39818912,1.0,0.9857,0.044,0.624,0.331,447.0,0.0,0.9857,0.9857
2790,39840875,0.29411764705882354,0.811664705882353,0.0010588235294117646,0.5934117647058825,0.4055294117647059,162.11764705882354,0.0,0.2732,0.9955
2791,39859386,0.8,0.9588300000000002,0.0049,0.634,0.36110000000000003,374.0,0.0,0.8588,0.9918
2792,39866150,0.5,0.81645,0.023,0.5125,0.4645,176.0,0.0,0.7774,0.8555
2793,39881828,0.0,0.8037000000000001,0.0,0.5732499999999999,0.4267500000000001,120.75,0.0,0.5859,0.9325
2794,39882092,0.7,0.69425,0.0,0.5283,0.47170000000000006,66.9,0.0,0.2714,0.9299
2795,39882353,0.6,0.7175299999999999,0.0,0.6201,0.37989999999999996,122.9,0.0,0.4199,0.9432
2796,39890882,0.8571428571428571,0.6321285714285715,0.0,0.7245714285714284,0.2754285714285714,129.0,0.0,0.0,0.9445
2797,39904941,0.5,0.7985071428571429,0.008142857142857143,0.6184285714285715,0.302,308.35714285714283,0.0,0.0,0.9923
2798,39932401,0.2857142857142857,0.7298571428571429,0.016571428571428574,0.5227142857142858,0.3177142857142857,150.57142857142858,0.0,0.0,0.9551
2799,39941806,1.0,0.6960500000000001,0.0,0.55,0.45,241.5,0.0,0.4927,0.8994
2800,39957677,0.42857142857142855,0.5624428571428571,0.0,0.3962857142857143,0.6037142857142858,34.285714285714285,0.0,0.2023,0.9348
2801,39959373,0.6153846153846154,0.7905692307692308,0.010076923076923077,0.6127692307692307,0.3771538461538461,179.0,0.0,0.0772,0.9757
2802,39959901,0.56,0.7208733333333331,0.004653333333333335,0.4751333333333334,0.5068933333333333,99.18666666666667,0.0,0.0,0.9892
2803,39961983,0.6,0.7122000000000003,0.019133333333333332,0.6670666666666666,0.31379999999999997,301.8666666666667,0.06666666666666667,-0.879,0.9571
2804,39988572,0.4,0.89922,0.0036999999999999997,0.6378999999999999,0.35829999999999995,237.6,0.0,0.6469,0.9799
2805,40006454,0.0,0.8676,0.0,0.635,0.365,114.0,0.0,0.8676,0.8676
2806,40008624,0.0,0.933,0.0,0.461,0.539,111.0,0.0,0.933,0.933
2807,40033250,1.0,0.976,0.0105,0.5880000000000001,0.401,308.0,0.0,0.9648,0.9872
2808,40045858,0.4,0.7871866666666667,0.012133333333333333,0.5132666666666666,0.47466666666666674,108.53333333333333,0.06666666666666667,-0.4215,0.9772
2809,40047858,0.7,0.63185,0.0039,0.5645,0.3317,133.2,0.0,0.0,0.9529
2810,40058460,0.0,0.9808,0.0,0.433,0.567,181.0,0.0,0.9808,0.9808
2811,40082032,0.0,0.9051,0.0,0.395,0.605,85.0,0.0,0.9051,0.9051
2812,40083585,0.25,0.6806,0.0,0.47375,0.27625,145.5,0.0,0.0,0.9601
2813,40100371,0.5462184873949579,0.713763865546219,0.017626050420168068,0.5172058823529412,0.452563025210084,103.76050420168067,0.025210084033613446,-0.5994,0.9869
2814,40101052,0.3333333333333333,0.66925,0.016916666666666667,0.6304166666666667,0.35266666666666663,167.75,0.08333333333333333,-0.3358,0.9768
