,n_estimators,colsample_bytree,max_depth,gamma,reg_lambda,subsample,MSE,MAE,R2
25,100.0,0.1,3.0,10.0,10.0,0.7,0.1833406665054179,0.32188691309139805,0.5794863033637334
26,100.0,0.1,3.0,10.0,10.0,0.9,0.18005170946599888,0.3193112134819446,0.5870268617225876
27,100.0,0.1,10.0,0.0,0.0,0.5,0.23898835316475875,0.37468177834343824,0.4518413769569305
28,100.0,0.1,10.0,0.0,0.0,0.7,0.2065786676928306,0.34662212029439593,0.5265368943632753
29,100.0,0.1,10.0,0.0,0.0,0.9,0.20187785257636856,0.3389700899375495,0.5374410491546392
30,100.0,0.1,10.0,0.0,1.0,0.5,0.19572151169277058,0.3360001590016909,0.5514116841052596
31,100.0,0.1,10.0,0.0,1.0,0.7,0.17518958499717924,0.314600983964631,0.5982964881027846
32,100.0,0.1,10.0,0.0,1.0,0.9,0.16877839826028604,0.3099346974245332,0.6127789907027777
33,100.0,0.1,10.0,0.0,10.0,0.5,0.17490037331440272,0.31348847637464,0.5987813956393239
34,100.0,0.1,10.0,0.0,10.0,0.7,0.16017458487057343,0.30011891588801687,0.6324857124008412
35,100.0,0.1,10.0,0.0,10.0,0.9,0.15631368686517183,0.2952500766922349,0.641609919705471
36,100.0,0.1,10.0,1.0,0.0,0.5,0.19385013368204856,0.33197248652630656,0.5553704869813758
37,100.0,0.1,10.0,1.0,0.0,0.7,0.1779592999150608,0.3195978494955717,0.5920168633961715
38,100.0,0.1,10.0,1.0,0.0,0.9,0.17094443713375723,0.31037423751059623,0.6083876742888491
39,100.0,0.1,10.0,1.0,1.0,0.5,0.1654708766875083,0.30572848002766007,0.6207092015291281
40,100.0,0.1,10.0,1.0,1.0,0.7,0.1589724371950433,0.2982610563459824,0.6354042297646713
41,100.0,0.1,10.0,1.0,1.0,0.9,0.15673673371262214,0.2952762888414724,0.6407124947145816
42,100.0,0.1,10.0,1.0,10.0,0.5,0.15514371499797802,0.2934887566612444,0.6442438950894356
43,100.0,0.1,10.0,1.0,10.0,0.7,0.15029229564012928,0.2891534412684236,0.6554788410322041
44,100.0,0.1,10.0,1.0,10.0,0.9,0.14751067987139513,0.28558761787068077,0.6618669035885907
45,100.0,0.1,10.0,10.0,0.0,0.5,0.1814349747205444,0.3230762760618318,0.58403277707445
46,100.0,0.1,10.0,10.0,0.0,0.7,0.17630029920980977,0.31808579810655224,0.5958830563884773
47,100.0,0.1,10.0,10.0,0.0,0.9,0.17756667275118182,0.3193992988985047,0.5928134109022568
48,100.0,0.1,10.0,10.0,1.0,0.5,0.18166879820850093,0.32271500479627,0.5833269962837239
49,100.0,0.1,10.0,10.0,1.0,0.7,0.17734740485127637,0.3192724983138321,0.5934554213673546
50,100.0,0.1,10.0,10.0,1.0,0.9,0.17673558997087568,0.3182565831472273,0.59476246473343
51,100.0,0.1,10.0,10.0,10.0,0.5,0.18678433643284179,0.32491289309671956,0.5716045063327365
52,100.0,0.1,10.0,10.0,10.0,0.7,0.18276362716300434,0.3217970232951421,0.5808602087811929
53,100.0,0.1,10.0,10.0,10.0,0.9,0.17996177311425385,0.3191794983442777,0.5872545186639815
54,100.0,0.1,50.0,0.0,0.0,0.5,0.28633253839654205,0.41412450888450153,0.343386874760795
55,100.0,0.1,50.0,0.0,0.0,0.7,0.25905802181338133,0.39073350134580764,0.4055403421155499
56,100.0,0.1,50.0,0.0,0.0,0.9,0.2532852825561666,0.38623727001862995,0.4192853100988378
57,100.0,0.1,50.0,0.0,1.0,0.5,0.20673516518887491,0.34896829170941035,0.5259543005106707
58,100.0,0.1,50.0,0.0,1.0,0.7,0.19312997723135392,0.33280733265755497,0.557127652732878
59,100.0,0.1,50.0,0.0,1.0,0.9,0.19181234935354102,0.33116480458111497,0.5601740309255913
60,100.0,0.1,50.0,0.0,10.0,0.5,0.17249582811522698,0.31243692451106775,0.6044007096530468
61,100.0,0.1,50.0,0.0,10.0,0.7,0.16472403807257868,0.30445301539704317,0.6219934565480084
62,100.0,0.1,50.0,0.0,10.0,0.9,0.1588722234654587,0.29854828368519704,0.6356841776946078
63,100.0,0.1,50.0,1.0,0.0,0.5,0.20296246525363948,0.3425471987448535,0.5343987767012239
64,100.0,0.1,50.0,1.0,0.0,0.7,0.18582474397220172,0.32657272917323377,0.5738457875680711
65,100.0,0.1,50.0,1.0,0.0,0.9,0.18851806594976336,0.3303907514701969,0.5680543289406663
66,100.0,0.1,50.0,1.0,1.0,0.5,0.16777837197583045,0.307265681715209,0.6154893038487472
67,100.0,0.1,50.0,1.0,1.0,0.7,0.16265682844306523,0.30186671837917994,0.6268043510365965
68,100.0,0.1,50.0,1.0,1.0,0.9,0.1629286958688688,0.30202736508759065,0.6265098225297544
69,100.0,0.1,50.0,1.0,10.0,0.5,0.1546368153929675,0.2953714494431637,0.6453862492044286
70,100.0,0.1,50.0,1.0,10.0,0.7,0.1504215115728716,0.2896084267992668,0.655147387281575
71,100.0,0.1,50.0,1.0,10.0,0.9,0.14686076444341672,0.2855243187593051,0.6633741960841754
72,100.0,0.1,50.0,10.0,0.0,0.5,0.1814349747205444,0.3230762760618318,0.58403277707445
73,100.0,0.1,50.0,10.0,0.0,0.7,0.17630029920980977,0.31808579810655224,0.5958830563884773
