index,id,count,brightness,contrast,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others
115,11369169,9,151.2809312608507,0.9939402605968846,1,1,1,0,2,1,3
116,11372604,5,96.63521118164063,0.985932335369508,0,1,2,0,1,1,0
117,11373749,30,138.7503921508789,0.9897206565171129,6,6,3,1,4,9,1
118,11388088,36,122.46958033243816,0.978440465832147,2,4,5,1,3,2,19
119,11392404,13,102.36886479304387,0.9625357883749449,1,4,1,1,2,1,3
120,11408229,12,152.21512603759766,0.9476096201762373,4,3,0,0,1,4,0
121,11412823,37,182.21508335422826,0.9517390359997787,2,18,1,0,8,5,3
122,11417515,6,100.51156107584636,0.9882861972610056,0,4,1,0,0,1,0
123,11418545,5,137.9954406738281,0.9748542546584161,1,2,0,0,0,1,1
124,11425524,41,122.5086729468369,0.9832236685145153,1,12,2,5,7,7,7
125,11428580,15,145.129008992513,0.9783749727540442,2,2,2,0,3,4,2
126,11436734,8,148.57716751098633,0.994159355671495,1,1,1,0,2,1,2
127,11439644,5,170.19164123535157,0.9469387755102041,1,1,0,0,2,1,0
128,11448467,24,148.85899289449057,0.9734567411819873,3,10,0,1,5,3,2
129,11467986,9,120.53915066189236,0.9680177848844073,0,2,2,2,1,0,2
130,11470909,8,132.10801124572754,0.9276931728868439,1,1,0,0,3,2,1
131,11477976,8,109.47841453552246,0.9829349804078054,0,2,0,0,1,1,4
132,11479067,29,120.12996857741783,0.992684114884954,2,9,4,2,6,6,0
133,11496169,1,123.43441772460938,0.9240506329113924,0,1,0,0,0,0,0
134,11502727,24,151.5531686147054,0.968678633669108,2,3,0,1,3,11,4
135,11506495,2,121.70668029785156,0.9620028409090908,1,0,0,0,0,0,1
136,11520349,41,150.04678902974942,0.9665765163368585,8,9,2,3,3,6,10
137,11521523,22,145.65874134410512,0.9759558144923894,3,6,3,1,1,6,2
138,11522656,9,150.51509263780383,1.0,1,4,0,1,1,2,0
139,11524249,9,105.69369167751736,0.9982638888888888,1,3,0,0,3,2,0
140,11525921,11,131.99864474209872,0.9978693181818182,2,3,1,0,1,2,2
141,11526781,2,134.18244171142578,1.0,0,2,0,0,0,0,0
142,11530553,8,97.0207405090332,0.9874364533935607,2,2,0,0,1,1,2
143,11541636,26,173.83011275071365,0.9535869722941585,3,3,0,0,5,5,10
144,11551428,5,106.12887878417969,0.9682766126265225,1,1,0,0,1,0,2
145,11551602,14,115.93534851074219,0.957916535690764,1,6,0,0,0,1,6
146,11565151,11,170.67590054598722,0.9791718878330784,1,1,0,2,4,1,2
147,11567383,11,121.94489080255681,0.9731393420326822,0,4,0,0,0,0,7
148,11572186,15,104.2156748453776,0.9838095668158497,0,3,0,0,1,0,11
149,11578945,37,129.98079578296557,0.9801128546774902,6,9,1,1,11,6,3
150,11587474,19,143.01244314093339,0.9917547848029497,1,4,0,0,4,6,4
151,11587490,14,136.50452314104353,0.9602853717755258,3,3,1,0,2,4,1
152,11587622,37,141.49213924923458,0.9856933563391821,7,8,4,1,7,10,0
153,11590759,9,102.91701083713107,0.980922980542288,1,1,0,0,0,0,7
154,11590832,11,111.89614729447798,0.9851708586871312,2,2,0,0,0,0,7
155,11604537,25,135.38539489746094,0.9844498933665039,2,6,1,0,6,5,5
156,11620981,1,92.81161499023438,0.9767441860465116,0,0,1,0,0,0,0
157,11621055,30,116.96984405517578,0.9822004176247495,9,8,3,2,3,4,1
158,11642773,1,120.42286682128906,0.9766536964980544,1,0,0,0,0,0,0
159,11647025,40,150.26954956054686,0.9646514888894311,8,11,1,3,0,6,11
160,11653856,25,105.78856262207032,0.9838473624327773,1,4,0,0,2,2,16
161,11653894,13,117.08241506723257,0.9285758950310746,1,2,0,0,1,6,3
162,11654784,11,105.37232832475142,0.9797301906172298,3,2,1,0,3,1,1
163,11656742,23,131.93623020337975,0.9708748828799021,3,7,0,0,4,3,6
164,11691914,10,136.5791748046875,0.9649167559092389,1,5,0,0,1,1,2
165,11693835,2,98.91615295410156,1.0,0,0,0,0,1,0,1
166,11697862,25,107.318076171875,0.98305887207064,3,6,0,2,4,4,6
167,11708439,35,128.4875950404576,0.9618480431386959,4,8,0,2,9,12,0
168,11719759,5,125.26493835449219,0.9921865842603139,1,2,0,0,1,1,0
169,11726550,20,125.66409759521484,0.9622655049482377,3,4,1,1,1,1,9
170,11727850,1,94.7215576171875,0.9097744360902256,0,0,0,0,0,1,0
171,11728466,26,178.99370868389423,0.9627419459111182,3,10,2,1,3,4,3
172,1173029,49,114.33596583775112,0.9727071062232047,5,7,0,3,10,6,18
173,11745622,9,152.8839603000217,0.9861929922725058,2,3,0,0,2,1,1
174,11765229,7,117.16682434082031,0.97475672865137,1,2,0,0,1,2,1
175,11765464,6,124.9140141805013,1.0,1,1,2,0,1,0,1
176,11772450,11,104.84556163441052,0.9908379149361676,2,3,0,0,0,1,5
177,11782221,24,163.7497901916504,0.9502849153919466,5,5,0,1,5,4,4
178,11783763,21,123.8897210984003,0.9776351847499904,1,2,1,0,5,0,12
179,11785748,6,105.66195678710938,0.9845354884417384,1,1,0,0,1,1,2
180,11785973,5,140.5725128173828,0.9330088728494438,1,1,1,0,1,0,1
181,11810445,21,140.21580505371094,0.99183525449004,4,6,1,0,3,6,1
182,11810725,19,113.83675504985608,0.9804173558761272,0,1,2,0,3,5,8
183,11814532,1,114.13426208496094,0.9534883720930233,0,0,0,0,0,1,0
184,11820263,20,151.60699234008788,0.9842018006373939,2,8,1,0,6,2,1
185,11822012,28,157.4830262320382,0.9836663103229456,2,7,1,0,4,10,4
186,11822994,27,158.08174302842883,0.9797380155190027,3,3,0,1,8,7,5
187,11826262,12,149.73767217000326,0.9597148146311193,1,4,1,0,2,2,2
