,id,counts,brightness
72,11041254,25,185.83466363722388
73,11056503,10,119.34142978395062
74,11064371,9,113.05238496977276
75,11066052,8,126.23147420749743
76,11074551,1,106.78707684957685
77,11080303,22,119.96072000162667
78,11119407,10,123.1298800104859
79,11122611,8,175.6395427787707
80,11131579,11,114.65550676363932
81,11131679,5,91.1565262345679
82,11132012,11,163.7598315556055
83,11134872,14,112.05742234959827
84,11137294,7,133.468250678599
85,11138404,9,135.52619695216052
86,11160926,6,112.04728780864197
87,11197200,14,107.8551998282071
88,11201562,45,158.0615225730167
89,11207312,16,123.0973904299836
90,11211533,34,123.6202213641667
91,11216939,8,96.40344360728226
92,11218236,7,113.64944692460317
93,11233281,2,86.75420428240741
94,11234613,22,118.9486954895357
95,11235665,11,183.00684674960186
96,11236425,10,187.90676238912687
97,11236587,13,176.42755450004142
98,11238793,8,130.19626703512955
99,11248447,6,118.395345617369
100,11249898,16,133.61012273341046
101,11255072,11,113.97016278706914
102,11269403,17,187.65024331130303
103,11276216,2,158.09431568287036
104,11278756,15,129.10758017356335
105,11292638,13,181.21785292694716
106,11292748,11,181.52061539802503
107,11298173,12,118.06282004318835
108,11299001,23,161.4083636924234
109,11299538,32,135.10095780105252
110,11300853,8,128.2460999143874
111,11310913,42,170.50630692896243
112,11348838,2,118.70934156378601
113,11366798,23,89.95853747316156
114,11369169,9,151.39639753351292
115,11372604,5,96.70694431584363
116,11373749,30,138.822750191089
117,11388088,36,122.5588363240932
118,11392404,13,102.46658043513186
119,11408229,12,152.30098451511407
120,11412823,37,182.288669584353
121,11417515,6,100.60706432898947
122,11418545,5,138.07874280390268
123,11425524,41,122.59629796188659
124,11428580,15,145.2084615922691
125,11436734,8,148.7130315274851
126,11439644,5,170.33628206044312
127,11448467,24,148.94617920003336
128,11467986,9,120.63068701417468
129,11470909,8,132.17495434670784
130,11477976,8,109.55958447366096
131,11479067,29,120.20790226559174
132,11496169,1,123.52961950231482
133,11502727,24,151.63856712449453
134,11506495,2,121.793074845679
135,11520349,41,150.1268137951612
136,11521523,22,145.73682185704973
137,11522656,9,150.5908365205025
138,11524249,9,105.7832622813786
139,11525921,11,132.09101949024947
140,11526781,2,134.24985781571502
141,11530553,8,97.06943102173352
142,11541636,26,173.90950013932485
143,11551428,5,106.21436001800411
144,11551602,14,116.09443664974343
145,11565151,11,170.7769958495862
146,11566781,11,123.11583218859114
147,11567383,11,122.02977440142548
148,11570753,34,138.06906838965665
149,11572186,15,104.307717193132
150,11578945,37,130.06065541401148
151,11587474,19,143.06354177455276
152,11587490,14,136.56829887137468
153,11587622,37,141.59851258537032
154,11590759,9,102.9875774250233
155,11590832,11,111.98836212101706
156,11604537,25,135.47616777477708
157,11620981,1,92.91405349794239
158,11621055,30,117.05290773313605
159,11642773,1,120.41094401041667
160,11647025,40,150.32137886648675
161,11653856,25,105.82862447457794
162,11653894,13,117.1733116358072
163,11654784,11,105.43062105526177
164,11656742,23,132.0007419306478
165,11691914,10,136.67069836232415
166,11693835,2,99.01515817901235
167,11697862,25,107.35735482788925
168,11708439,35,128.58072852873858
169,11719759,5,125.33464271476339
170,11726550,20,125.7682521744155
171,11727850,1,94.812795781893
172,11728466,26,179.07570880586206
173,1173029,39,128.6677843248665
