,price
159,3.6375861597263857
160,4.605170185988092
161,4.3694478524670215
162,3.5553480614894135
163,4.499809670330265
164,4.343805421853684
165,5.703782474656201
166,5.135798437050262
167,4.605170185988092
168,4.700480365792417
169,4.0943445622221
170,3.8501476017100584
171,4.605170185988092
172,3.912023005428146
173,3.871201010907891
174,4.007333185232471
175,3.6888794541139363
176,3.5553480614894135
177,4.59511985013459
178,4.584967478670572
179,3.970291913552122
180,3.8501476017100584
181,3.8501476017100584
182,4.31748811353631
183,4.382026634673881
184,4.574710978503383
185,5.1298987149230735
186,4.859812404361672
187,3.4011973816621555
188,3.6888794541139363
189,4.382026634673881
190,4.0943445622221
191,4.3694478524670215
192,5.459585514144159
193,4.976733742420574
194,4.442651256490317
195,5.159055299214529
196,4.605170185988092
197,5.521460917862246
198,4.941642422609304
199,3.8066624897703196
200,5.062595033026967
201,2.1972245773362196
202,3.912023005428146
203,5.135798437050262
204,4.0943445622221
205,4.007333185232471
206,3.828641396489095
207,4.174387269895637
208,4.653960350157523
209,4.007333185232471
210,3.2188758248682006
211,5.075173815233827
212,4.07753744390572
213,4.61512051684126
214,4.574710978503383
215,4.605170185988092
216,3.7376696182833684
217,4.59511985013459
218,5.10594547390058
219,4.77912349311153
220,4.007333185232471
221,3.4011973816621555
222,3.6888794541139363
223,5.602118820879701
224,5.0106352940962555
225,3.5263605246161616
226,4.605170185988092
227,3.258096538021482
228,5.720311776607412
229,3.912023005428146
230,4.174387269895637
231,4.787491742782046
232,4.382026634673881
233,4.330733340286331
234,2.9444389791664403
235,5.075173815233827
236,4.553876891600541
237,5.780743515792329
238,3.6888794541139363
239,4.574710978503383
240,3.8066624897703196
241,5.0106352940962555
242,5.0106352940962555
243,3.9889840465642745
244,5.857933154483459
245,3.7376696182833684
246,5.318119993844216
247,4.553876891600541
248,3.4965075614664802
249,3.58351893845611
250,3.4657359027997265
251,4.02535169073515
252,3.912023005428146
253,4.7535901911063645
254,4.9344739331306915
255,4.31748811353631
256,5.1647859739235145
257,4.499809670330265
258,4.605170185988092
259,4.0943445622221
260,4.007333185232471
261,4.007333185232471
262,3.8066624897703196
263,4.605170185988092
264,3.912023005428146
265,3.970291913552122
266,5.0106352940962555
267,4.406719247264253
268,4.382026634673881
269,3.8066624897703196
270,5.198497031265826
271,5.003946305945459
272,5.220355825078324
273,3.912023005428146
274,4.624972813284271
275,3.1780538303479458
276,3.8066624897703196
277,4.382026634673881
278,4.31748811353631
279,4.6913478822291435
280,4.997212273764115
281,4.605170185988092
282,4.248495242049359
283,3.784189633918261
284,2.5649493574615367
285,4.8283137373023015
286,3.6888794541139363
287,4.382026634673881
288,4.07753744390572
289,2.9444389791664403
290,4.248495242049359
291,4.204692619390966
292,4.174387269895637
293,4.6913478822291435
294,3.912023005428146
295,4.0943445622221
296,5.099866427824199
297,5.003946305945459
298,3.8066624897703196
299,5.41610040220442
300,5.135798437050262
301,5.429345628954441
302,4.382026634673881
303,4.02535169073515
304,3.8066624897703196
305,3.332204510175204
306,5.236441962829949
307,5.075173815233827
308,5.8522024797744745
309,5.062595033026967
310,4.867534450455582
311,4.787491742782046
312,4.174387269895637
313,4.59511985013459
314,3.5553480614894135
315,4.248495242049359
316,3.8066624897703196
317,2.995732273553991
318,3.871201010907891
319,4.499809670330265
320,3.5553480614894135
321,5.41610040220442
322,5.0106352940962555
323,3.5553480614894135
324,4.0943445622221
325,5.288267030694535
326,3.6635616461296463
327,3.912023005428146
328,5.298317366548036
329,3.8918202981106265
330,5.521460917862246
331,4.127134385045092
332,4.1588830833596715
333,4.23410650459726
334,3.6888794541139363
335,4.07753744390572
336,2.995732273553991
337,4.382026634673881
338,4.31748811353631
339,4.31748811353631
340,3.6888794541139363
341,3.8918202981106265
342,4.07753744390572
343,5.0106352940962555
344,3.2188758248682006
345,5.298317366548036
346,4.8283137373023015
347,3.7612001156935624
348,4.3694478524670215
349,5.0106352940962555
350,4.605170185988092
351,4.248495242049359
352,3.871201010907891
353,3.4011973816621555
354,3.4965075614664802
355,4.382026634673881
356,5.298317366548036
357,4.382026634673881
358,4.787491742782046
359,4.976733742420574
360,4.248495242049359
361,4.0943445622221
362,4.406719247264253
363,3.6888794541139363
364,4.382026634673881
365,3.8066624897703196
366,5.093750200806762
367,3.367295829986474
368,3.091042453358316
369,4.007333185232471
370,3.6375861597263857
371,4.700480365792417
372,5.0106352940962555
373,4.875197323201151
374,4.700480365792417
375,5.293304824724492
376,3.2188758248682006
377,4.060443010546419
378,4.48863636973214
379,4.0943445622221
380,3.912023005428146
381,5.0106352940962555
382,4.553876891600541
383,3.8066624897703196
384,4.127134385045092
385,6.061456918928017
386,4.31748811353631
387,4.787491742782046
388,5.043425116919247
389,4.007333185232471
390,4.897839799950911
391,5.247024072160486
392,4.174387269895637
393,3.912023005428146
394,4.02535169073515
395,5.298317366548036
396,4.1588830833596715
